Alciston, Country: United Kingdom, WOEID: 10528, Administrative:, England (Country), East Sussex (County), Localities:, Alciston, Postal BN26 6 (Postal Code), Location (lat/lon):, 50.834221, 0.141970, Bounding Box:, NE 50.843578, 0.169350, SW 50.818642, 0.129850, , 
Alfriston, Country: United Kingdom, WOEID: 10598, Administrative:, England (Country), East Sussex (County), Localities:, Alfriston, Postal BN26 5 (Postal Code), Location (lat/lon):, 50.810169, 0.155530, Bounding Box:, NE 50.817429, 0.165040, SW 50.795040, 0.127010, , 
Amberstone, Country: United Kingdom, WOEID: 10765, Administrative:, England (Country), East Sussex (County), Localities:, Amberstone, Postal BN27 1 (Postal Code), Location (lat/lon):, 50.879120, 0.279750, Bounding Box:, NE 50.883678, 0.286970, SW 50.874580, 0.272570, , 
Arlington, Country: United Kingdom, WOEID: 11034, Administrative:, England (Country), East Sussex (County), Localities:, Arlington, Postal BN26 6 (Postal Code), Location (lat/lon):, 50.845051, 0.191340, Bounding Box:, NE 50.864891, 0.201080, SW 50.832569, 0.168930, , 
Bells Yew Green, Country: United Kingdom, WOEID: 12316, Administrative:, England (Country), East Sussex (County), Localities:, Bells Yew Green, Postal TN3 9 (Postal Code), Location (lat/lon):, 51.101631, 0.298850, Bounding Box:, NE 51.106731, 0.304300, SW 51.097630, 0.289820, , 
Berwick, Country: United Kingdom, WOEID: 12437, Administrative:, England (Country), East Sussex (County), Localities:, Berwick, Postal BN26 6 (Postal Code), Location (lat/lon):, 50.824959, 0.154430, Bounding Box:, NE 50.829880, 0.161720, SW 50.820782, 0.147320, , 
Black Hill, Country: United Kingdom, WOEID: 12829, Administrative:, England (Country), East Sussex (County), Localities:, Black Hill, Postal TN6 1 (Postal Code), Location (lat/lon):, 51.056999, 0.106400, Bounding Box:, NE 51.061550, 0.113630, SW 51.052448, 0.099170, , 
Blackboys, Country: United Kingdom, WOEID: 12842, Administrative:, England (Country), East Sussex (County), Localities:, Blackboys, Postal TN22 5 (Postal Code), Location (lat/lon):, 50.964561, 0.170760, Bounding Box:, NE 50.970390, 0.178980, SW 50.961288, 0.164540, , 
Blackham, Country: United Kingdom, WOEID: 12877, Administrative:, England (Country), East Sussex (County), Localities:, Blackham, Postal TN3 9 (Postal Code), Location (lat/lon):, 51.135201, 0.141630, Bounding Box:, NE 51.139740, 0.148880, SW 51.130638, 0.134400, , 
Boarshead, Country: United Kingdom, WOEID: 13106, Administrative:, England (Country), East Sussex (County), Localities:, Boarshead, Postal TN6 3 (Postal Code), Location (lat/lon):, 51.072578, 0.188600, Bounding Box:, NE 51.077511, 0.196080, SW 51.068409, 0.181620, , 
Boreham Street, Country: United Kingdom, WOEID: 13266, Administrative:, England (Country), East Sussex (County), Localities:, Boreham Street, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.877232, 0.365880, Bounding Box:, NE 50.881721, 0.374510, SW 50.872719, 0.360250, , 
Broad Oak, Country: United Kingdom, WOEID: 13997, Administrative:, England (Country), East Sussex (County), Localities:, Broad Oak, Postal TN21 8 (Postal Code), Location (lat/lon):, 50.973598, 0.273770, Bounding Box:, NE 51.003990, 0.308070, SW 50.968109, 0.261800, , 
Budletts, Country: United Kingdom, WOEID: 14437, Administrative:, England (Country), East Sussex (County), Localities:, Budletts, Postal TN22 2 (Postal Code), Location (lat/lon):, 50.989449, 0.097390, Bounding Box:, NE 50.993999, 0.104620, SW 50.984901, 0.090180, , 
Burnt Oak, Country: United Kingdom, WOEID: 14619, Administrative:, England (Country), East Sussex (County), Localities:, Burnt Oak, Postal TN6 3 (Postal Code), Location (lat/lon):, 51.022781, 0.157270, Bounding Box:, NE 51.030849, 0.169230, SW 51.021751, 0.154770, , 
Buss's Green, Country: United Kingdom, WOEID: 14736, Administrative:, England (Country), East Sussex (County), Localities:, Buss's Green, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.090210, 0.345740, Bounding Box:, NE 51.093849, 0.353540, SW 51.084751, 0.339060, , 
Buttons, Country: United Kingdom, WOEID: 14768, Administrative:, England (Country), East Sussex (County), Localities:, Buttons, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.036678, 0.338350, Bounding Box:, NE 51.040451, 0.346630, SW 51.031349, 0.332170, , 
Buxted, Country: United Kingdom, WOEID: 14770, Administrative:, England (Country), East Sussex (County), Localities:, Buxted, Postal TN22 (Postal Code), Location (lat/lon):, 50.992290, 0.141580, Bounding Box:, NE 51.008129, 0.159950, SW 50.972050, 0.115890, , 
Cade Street, Country: United Kingdom, WOEID: 14814, Administrative:, England (Country), East Sussex (County), Localities:, Cade Street, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.966492, 0.282820, Bounding Box:, NE 50.970779, 0.290890, SW 50.961781, 0.276610, , 
